iter	Passed	Remaining
0	5	529
1	9	464
2	13	434
3	16	391
4	21	410
5	25	399
6	29	391
7	33	383
8	35	362
9	38	343
10	40	324
11	41	307
12	43	291
13	45	279
14	46	265
15	48	253
16	49	243
17	51	233
18	52	224
19	53	215
20	55	208
21	56	200
22	57	194
23	59	187
24	60	182
25	62	176
26	63	171
27	64	166
28	66	161
29	67	157
30	68	153
31	70	148
32	71	144
33	72	141
34	74	138
35	75	134
36	77	131
37	78	128
38	80	125
39	81	122
40	82	119
41	83	115
42	84	112
43	86	109
44	87	106
45	88	104
46	90	101
47	91	99
48	92	96
49	94	94
50	95	92
51	97	89
52	98	87
53	100	85
54	101	83
55	103	80
56	104	78
57	105	76
58	106	74
59	108	72
60	109	70
61	111	68
62	112	66
63	114	64
64	115	62
65	116	60
66	117	58
67	119	56
68	120	54
69	122	52
70	124	50
71	126	49
72	127	47
73	129	45
74	131	43
75	132	41
76	134	40
77	136	38
78	138	36
79	140	35
80	142	33
81	143	31
82	145	29
83	147	28
84	148	26
85	149	24
86	150	22
87	152	20
88	153	18
89	155	17
90	156	15
91	157	13
92	158	11
93	160	10
94	161	8
95	162	6
96	163	5
97	165	3
98	166	1
99	168	0
